Name ;Comment URL;Content;Date;emocion
Angie Durand Flores;https://www.tiktok.com/@angiedurandflores5/video/7354011532155489541?comment_id=7354026137057985285;la depresión es una enfermedad que no se va, siempre está ahí, como una sombra, solo de aprende a vivir con eso 🥺;2024-04-04 14:57:30;Tristeza
Isaac Yluquiz Contre;https://www.tiktok.com/@pedrito598/video/7354011532155489541?comment_id=7354032082915689222;estoy dejando mi vida en la ruina no tengo necesidad de querer hacer nada estoy dejando de lado mis sueños y sinceramente es como si ya no quisera;2024-04-04 15:20:32;Tristeza
skudexa;https://www.tiktok.com/@skudexa0/video/7354011532155489541?comment_id=7354036545680245509;🥺🥺🥺;2024-04-04 15:37:51;Tristeza
Ándre;https://www.tiktok.com/@andre_notfound/video/7354011532155489541?comment_id=7354047360798294790;Cuando no se siente nada?;2024-04-04 16:19:49;Sorpresa
𝓘𝓶𝓮𝓵𝓲𝓼𝓼𝓪 🌙;https://www.tiktok.com/@imelissabel/video/7354011532155489541?comment_id=7360761971844809478;Dime si está bien solo querer dormir 🛌 y llorar no tengo interés en nada ando apagada;2024-04-22 18:35:59;Tristeza
Alessandra Aquije;https://www.tiktok.com/@aleaquije/video/7354011532155489541?comment_id=7361647064088298245;@@pablocesarfloresr pero ya estoy saliendo adelante 🥺;2024-04-25 03:50:41;Alegría
Claudio Torres Chereque;https://www.tiktok.com/@claudiovtorresche/video/7354011532155489541?comment_id=7362737478480184070;y si esas dos situaciones las siento por años? 🥺;2024-04-28 02:21:59;Tristeza
Nurmustafa22;https://www.tiktok.com/@nurmustafa22/video/7354011532155489541?comment_id=7363833489382277893;😳😳😳;2024-05-01 01:15:02;Sorpresa
NicolasCece;https://www.tiktok.com/@nicolascespedes.c/video/7354011532155489541?comment_id=7363888881789436678;Hace 2 años tengo depresión entonces 💀;2024-05-01 04:50:01;Tristeza
Alejandro Inocente;https://www.tiktok.com/@alejandro10995/video/7354011532155489541?comment_id=7363897093410800390;hace años fui diagnósticado con ansiedad y transtorno depresivo 😞pero mi alrededor cree que es solo una etapa y noc que más hacer lucho solo contra esto;2024-05-01 05:21:54;Tristeza
Ne;https://www.tiktok.com/@netamarindo/video/7354011532155489541?comment_id=7364887478002762502;hay muchas personas con depresión que podemos estar tristes, pero no expresamos nada, no buscamos preocupar a nadie, vivimos esto solos, nos aislamos;2024-05-03 21:25:13;Tristeza
Mei 🧸🎀;https://www.tiktok.com/@mei_sk/video/7354011532155489541?comment_id=7364995987340034821;@° 𝑨𝑖 aiudaaaaaa;2024-05-04 04:26:15;Miedo
memo;https://www.tiktok.com/@memovillanuevaitz/video/7354011532155489541?comment_id=7365299620547166981;mentira claro q no;2024-05-05 00:04:29;Ira
Alejandra Calderon;https://www.tiktok.com/@alejandracaldero60/video/7354011532155489541?comment_id=7365321246962139909;tengo 28 y llevo 28 años de mi vida así. recuerdo cosas muy turbias desde mis 2 años y aún vivo con todos esos recuerdos día a día, hora tras hora, es agotador.;2024-05-05 01:28:27;Tristeza
snnopy_01;https://www.tiktok.com/@snnopy_01/video/7354011532155489541?comment_id=7365333186329740038;Tipo nose, yo demuestro estar bien, pero cuando estoy sola....;2024-05-05 02:14:48;Tristeza
❤️‍🔥💯🙊;https://www.tiktok.com/@angieariza17/video/7354011532155489541?comment_id=7365366029591298821;Van 4055 días. + querer olvidar, dormir y la sosobra la desesperanza...;2024-05-05 05:05:46;Tristeza
YESS MARTÍNEZ🐸;https://www.tiktok.com/@yess_080/video/7354011532155489541?comment_id=7365411631503901445;🥺🥺🥺;2024-05-05 07:19:11;Tristeza
Lalitoon;https://www.tiktok.com/@lalitoon_/video/7354011532155489541?comment_id=7365528498154324741;añosssss en tristeza total 🥺;2024-05-05 14:52:31;Tristeza
AnimeStorck;https://www.tiktok.com/@animestorck6/video/7354011532155489541?comment_id=7365644898933195526;2 semanas entonces no,lo mio lleva como 15 años,que alivio ☺️;2024-05-05 23:21:08;Alegría
KARABAZ;https://www.tiktok.com/@belzegor93/video/7354011532155489541?comment_id=7365742599061947142;si no es dsm no es;2024-05-06 04:43:29;Ira
Anita;https://www.tiktok.com/@anitrax18/video/7354011532155489541?comment_id=7365756541351330566;distimia, insomnio y relación tóxica con la comida que es lo único que me hace sentir algo diferente;2024-05-06 05:37:28;Tristeza
Mafalda;https://www.tiktok.com/@mariana8972535/video/7354011532155489541?comment_id=7365870974896734982;Yo lloro pero solo cuando llego a mi casa y me encuentro sola. Me mudé hace 3 meses y extraño a mi hijo 😭;2024-05-06 13:01:40;Tristeza
solo juan;https://www.tiktok.com/@buatistaalvarez0/video/7354011532155489541?comment_id=7365961247676547845;llevo 3 años tristes.. ya en mi vida es normal;2024-05-06 18:51:56;Tristeza
César;https://www.tiktok.com/@cesrodri05/video/7354011532155489541?comment_id=7366151599305507589;pues ah mi me pasa que estoy en el trabajo y de pronto me pierdo en mis pensamientos y se me baja los ánimos recordando y haciendo escenarios en mi cabeza:(;2024-05-07 07:10:36;Tristeza
