source_name;source_url;content_type;content;date_published;language;emocion
La República - LR+;https://www.youtube.com/watch?v=9Tfkd6aIqqI;comment;"Increíble, Pacto mafioso, ahora quieren apoderarse de Universidades Nacionales; claro, Autoridades MEDIOCRES Q SE PRESTAN";2026-05-13T21:49:16Z;es;Ira
CLAUDIO REVATTA;https://www.youtube.com/watch?v=QrE4aGbUGAE;comment;La universidad del pacífico, la uni...😂;2025-05-02T19:54:01Z;es;Alegría
CLAUDIO REVATTA;https://www.youtube.com/watch?v=QrE4aGbUGAE;comment;Con eso lo de la presentación de la virgen María  ya se  quemaron solos 😂😂;2025-03-24T03:05:06Z;es;Alegría 
CLAUDIO REVATTA;https://www.youtube.com/watch?v=QrE4aGbUGAE;comment;Jajaja de universidades se metió el chamo :v;2025-01-26T03:50:43Z;es;Alegría
CLAUDIO REVATTA;https://www.youtube.com/watch?v=QrE4aGbUGAE;comment;Falto universidad cientifica del SUR con los egipcios 😹😹;2025-02-04T19:56:52Z;es;Alegría
CLAUDIO REVATTA;https://www.youtube.com/watch?v=QrE4aGbUGAE;comment;Jajajajaja y los ingresantes de la UCV y sus palabras finales😅 se pasan, jajajaja;2025-01-27T00:58:17Z;es;Alegría
CLAUDIO REVATTA;https://www.youtube.com/watch?v=QrE4aGbUGAE;comment;Jajajaa, hasta le imitó el tipico polito en V, su vaina de la cabeza y el morral, solo faltó la falda larga jaja, son preciosas;2025-01-27T02:07:06Z;es;Alegría
CLAUDIO REVATTA;https://www.youtube.com/watch?v=QrE4aGbUGAE;comment;Te faltó la universidad Ricardo palma;2025-08-26T17:11:53Z;es;Alegría
CLAUDIO REVATTA;https://www.youtube.com/watch?v=QrE4aGbUGAE;comment;Eso de la ucv si es cierto, me sucedio igual con la utp, no postule y nads solo llame para consultar y luego postule a la u de lima y me llaman diciendo que ingresé a la utp y con un mes ya pagado con la matricula XD;2026-01-24T01:20:58Z;es;Sorpresa
CLAUDIO REVATTA;https://www.youtube.com/watch?v=QrE4aGbUGAE;comment;Que le costaba al Robitin decir solo es muy difícil ingresar me raya con tanto cálculo 😂😂😂😂😅;2025-01-24T13:05:07Z;es;Alegría
CLAUDIO REVATTA;https://www.youtube.com/watch?v=QrE4aGbUGAE;comment;Te falta agregar la universidad de Villa el Salvador UNTELS;2025-01-24T01:54:29Z;es;Alegría
CLAUDIO REVATTA;https://www.youtube.com/watch?v=QrE4aGbUGAE;comment;A rogelia le olvido decir que era de la Universidad Nacional Mayor de San Marcos decana de América 😂;2025-01-23T23:46:45Z;es;Alegría
CLAUDIO REVATTA;https://www.youtube.com/watch?v=QrE4aGbUGAE;comment;DIOSSSSS ,VERDADDDD🤣🤣🤣,solo peruanos o los que viven en Perú entenderan kjksajkajaj;2025-02-10T20:45:17Z;es;Alegría
CLAUDIO REVATTA;https://www.youtube.com/watch?v=QrE4aGbUGAE;comment;Oe mi soli, te faltó la universidad de la vida pe chamo... No es la misma que la del Brayan y el Jonathan 😮;2025-01-23T23:11:28Z;es;Alegría
CLAUDIO REVATTA;https://www.youtube.com/watch?v=QrE4aGbUGAE;comment;Yo ingrese a la garcilazo solo contestando la mitad de las preguntas pq me sentia mal del estomago... Jajaja catolica;2025-06-19T09:27:21Z;es;Alegría
L1MAX;https://www.youtube.com/watch?v=8v5J0WPZpOg;comment;Papi lozano esta vez no nos ayudastes, espero que con huancayo lo hagas 🥺🙏;2024-02-28T18:50:06Z;es;Ira
L1MAX;https://www.youtube.com/watch?v=8v5J0WPZpOg;comment;La gente buscando explicaciones de un jugador que no está siendo aceptado pero tmbn Canchita está en nada y Jairo juega solo, falta quien toque con él, quizás más destacan el arquero y Portocarrero. Falta remate a distancia, toque y desmarque. El Tunche es garra y corazón pero está de suplente;2024-02-25T16:14:24Z;es;Ira
L1MAX;https://www.youtube.com/watch?v=8v5J0WPZpOg;comment;Un 9 que se respete como tal no puede fallar una ocasión así. Con la altura que tiene no puede fallar de esa manera. De última, podía hasta darle pase a Riveros que venía solo. Creo que esta fue su oportunidad para justificar su contratación pero se le fue el tren.;2024-02-26T09:45:40Z;es;Ira
L1MAX;https://www.youtube.com/watch?v=8v5J0WPZpOg;comment;Que malo le dieron la pelota como con la mano seguro solo cerro los ojos y cabeceo.;2024-02-27T20:16:09Z;es;Asco
L1MAX;https://www.youtube.com/watch?v=8v5J0WPZpOg;comment;Solo con ayudin ganan;2025-07-02T01:48:28Z;es;Ira
L1MAX;https://www.youtube.com/watch?v=8v5J0WPZpOg;comment;Solo falto el penal para q troncogaray haga su gol .😂😂😂;2024-02-25T05:26:50Z;es;Ira
L1MAX;https://www.youtube.com/watch?v=8v5J0WPZpOg;comment;La u esta recontra mal solo empata con cvs que esta en los ultimos lugares.;2024-03-31T14:14:31Z;es;Asco
L1MAX;https://www.youtube.com/watch?v=8v5J0WPZpOg;comment;Uno de los delanteros mas malos k a tenido la u deberia dejarlo en pura banca x malo .. solo solo km lo iba a fallar...🤬🤬🤬🤬🤬🤬;2024-02-26T11:51:07Z;es;Ira
EL ESTRATEGA;https://www.youtube.com/watch?v=wk_JRZPv7QU;comment;Ferrari solo es liso cuando esta con la trinchera norte;2024-10-28T19:14:56Z;es;Ira
EL ESTRATEGA;https://www.youtube.com/watch?v=wk_JRZPv7QU;comment;Esta fumado cuevita. Triste final de un gran jugador;2024-11-08T20:40:10Z;es;Tristeza
EL ESTRATEGA;https://www.youtube.com/watch?v=wk_JRZPv7QU;comment;Solo es física muchachos todo lo q sube tiene q bajar;2024-11-15T02:12:34Z;es;Asco
EL ESTRATEGA;https://www.youtube.com/watch?v=wk_JRZPv7QU;comment;"Payaso de carnaval 
Ríe x no llorar";2024-10-28T14:54:23Z;es;Asco
EL ESTRATEGA;https://www.youtube.com/watch?v=wk_JRZPv7QU;comment;Oe gente que no se dan cuenta ...  Por qué le agarramos tanta cólera a  cueva ??? Que porqué destruyó  tus sueños  frustrados de ser futbolista jajajajja ...  Vivan sus vidas manos  ... Gagamonton;2025-06-20T17:42:11Z;es;Ira
EL ESTRATEGA;https://www.youtube.com/watch?v=wk_JRZPv7QU;comment;Tanto talento lo desaparecen con su comportamiento. No solo el muchos mas;2025-05-15T12:43:06Z;es;Asco
EL ESTRATEGA;https://www.youtube.com/watch?v=wk_JRZPv7QU;comment;Solo es un perro q ladra 😅;2025-05-15T21:11:36Z;es;Alegría 
EL ESTRATEGA;https://www.youtube.com/watch?v=wk_JRZPv7QU;comment;jajajajajajajajajaja ferrari es un pavaso, pero ese pavaso con un solo manazo se le baja todo a cuevita;2025-06-05T21:30:39Z;es;Añ
EL ESTRATEGA;https://www.youtube.com/watch?v=wk_JRZPv7QU;comment;Lo mas triste es que nunca dio la vuelta contra la U y encima el año que llego como estrella a Alianza los vio campeonar en Matute a los de la U;2025-06-15T16:19:19Z;es;Alegría 
EL ESTRATEGA;https://www.youtube.com/watch?v=wk_JRZPv7QU;comment;Ese Cueva,jajaaaa y ferrar la lloronai ahora quedo indignado😂;2024-10-30T21:57:16Z;es;Alegría 
EL ESTRATEGA;https://www.youtube.com/watch?v=wk_JRZPv7QU;comment;Cueva enfrentando a la llorona... Quien te conoce jajja bien cuevita;2024-10-30T02:35:56Z;es;Sorpresa
EL ESTRATEGA;https://www.youtube.com/watch?v=wk_JRZPv7QU;comment;Cueva puede hacer sus huevaditas solo con alianzapor qué con la U no le dejan ni pensar sale ofuscado por que no gravito;2025-05-13T02:19:55Z;es;Alegría
