source_name;source_url;content;date_published;emocion;content_global;tokens;lemas;content_clasico;content_transformers;is_verified;origin;final_emocion;pred_encoded;silver_label;cluster_id
JAVIER FURMAN;https://www.youtube.com/watch?v=NiRrFqwSQIU;Probióticos nos ayudan a deshacer los limentos para procesarlos mejor y los prebioticos es el alimento de ellos como la fibra de las frutas y verduras 🥒 por eso es importante consumirlas completas y no solo el jugo;2024-03-27T00:47:55Z;Ira;Probióticos nos ayudan a deshacer los limentos para procesarlos mejor y los prebioticos es el alimento de ellos como la fibra de las frutas y verduras emoji_pepino por eso es importante consumirlas completas y no solo el jugo;['probióticos', 'nos', 'ayudan', 'a', 'deshacer', 'los', 'limentos', 'para', 'procesarlos', 'mejor', 'y', 'los', 'prebioticos', 'es', 'el', 'alimento', 'de', 'ellos', 'como', 'la', 'fibra', 'de', 'las', 'frutas', 'y', 'verduras', 'emoji_pepino', 'por', 'eso', 'es', 'importante', 'consumirlas', 'completas', 'y', 'no', 'solo', 'el', 'jugo'];['probiótico', 'ayudar', 'deshacer', 'limento', 'procesarlo', 'mejor', 'prebiotico', 'alimento', 'fibra', 'fruta', 'verdura', 'emoji_pepino', 'importante', 'consumirla', 'completo', 'no', 'jugo'];probiótico ayudar deshacer limento procesarlo mejor prebiotico alimento fibra fruta verdura emoji_pepino importante consumirla completo no jugo;Probióticos nos ayudan a deshacer los limentos para procesarlos mejor y los prebioticos es el alimento de ellos como la fibra de las frutas y verduras emoji_pepino por eso es importante consumirlas completas y no solo el jugo;True;youtube_02;Ira;;;
Psiquiatría Mente y Salud;https://www.youtube.com/watch?v=80VlOKkLI5I;Yo no quiero causarle sufrimiento a nadie yo solo quiero dejar de sufrir, para mi  es agotador estar viviendo porque cada dia es un dolor inmenso estar aguantando todo;2025-03-17T10:03:23Z;Tristeza;Yo no quiero causarle sufrimiento a nadie yo solo quiero dejar de sufrir, para mi es agotador estar viviendo porque cada dia es un dolor inmenso estar aguantando todo;['yo', 'no', 'quiero', 'causarle', 'sufrimiento', 'a', 'nadie', 'yo', 'solo', 'quiero', 'dejar', 'de', 'sufrir', 'para', 'mi', 'es', 'agotador', 'estar', 'viviendo', 'porque', 'cada', 'dia', 'es', 'un', 'dolor', 'inmenso', 'estar', 'aguantando', 'todo'];['no', 'querer', 'causar él', 'sufrimiento', 'nadie', 'querer', 'dejar', 'sufrir', 'agotador', 'vivir', 'dolor', 'inmenso', 'aguantar'];no querer causar él sufrimiento nadie querer dejar sufrir agotador vivir dolor inmenso aguantar;Yo no quiero causarle sufrimiento a nadie yo solo quiero dejar de sufrir, para mi es agotador estar viviendo porque cada dia es un dolor inmenso estar aguantando todo;True;youtube_02;Tristeza;;;
Patti Macias;https://www.youtube.com/watch?v=VV79ocIAueA;Muchas Gracias por el consejo, soy una niña de 9 años y tengo ansiedad de verdad te lo agradezco❤;2024-12-19T14:19:39Z;Miedo;Muchas Gracias por el consejo, soy una niña de 9 años y tengo ansiedad de verdad te lo agradezco emoji_corazón_rojo;['muchas', 'gracias', 'por', 'el', 'consejo', 'soy', 'una', 'niña', 'de', '9', 'años', 'y', 'tengo', 'ansiedad', 'de', 'verdad', 'te', 'lo', 'agradezco', 'emoji_corazón_rojo'];['gracia', 'consejo', 'niña', '9', 'año', 'ansiedad', 'agradecer', 'emoji_corazón_rojo'];gracia consejo niña 9 año ansiedad agradecer emoji_corazón_rojo;Muchas Gracias por el consejo, soy una niña de 9 años y tengo ansiedad de verdad te lo agradezco emoji_corazón_rojo;True;youtube_02;Miedo;;;
Fernando Leiva - Psicólogo;https://www.youtube.com/watch?v=xSzG_txnJWM;Gracias dr.despues de una perdida ,puede haber depresion ,es importante estar al pendiente de nuestro familiar.;2023-11-28T19:20:04Z;Alegría;Gracias dr.despues de una perdida ,puede haber depresion ,es importante estar al pendiente de nuestro familiar.;['gracias', 'dr', 'despues', 'de', 'una', 'perdida', 'puede', 'haber', 'depresion', 'es', 'importante', 'estar', 'al', 'pendiente', 'de', 'nuestro', 'familiar'];['gracias', 'dr', 'perdida', 'depresion', 'importante', 'pendiente', 'familiar'];gracias dr perdida depresion importante pendiente familiar;Gracias dr.despues de una perdida ,puede haber depresion ,es importante estar al pendiente de nuestro familiar.;True;youtube_02;Alegría;;;
CasiCreativo;https://www.youtube.com/watch?v=JQr6Ld8d-f8;"Jajaja omg.!! Me salió esta video después de unos meses de terapia jajaja
Y es verdad todo lo dice de los ejercicios jajaja 
No puedo creerlo ❤que ando haciendo lo mismo 😂😂😂😂 
Y a mi cerebro le encanta.
Lo del libro agradecimiento jajaja 😂😂";2026-03-04T01:40:24Z;Alegría;Jajaja omg.!! Me salió esta video después de unos meses de terapia jajaja Y es verdad todo lo dice de los ejercicios jajaja No puedo creerlo emoji_corazón_rojo que ando haciendo lo mismo emoji_cara_llorando_de_risa emoji_cara_llorando_de_risa emoji_cara_llorando_de_risa emoji_cara_llorando_de_risa Y a mi cerebro le encanta. Lo del libro agradecimiento jajaja emoji_cara_llorando_de_risa emoji_cara_llorando_de_risa;['jajaja', 'omg', 'exclamacion', 'exclamacion', 'me', 'salió', 'esta', 'video', 'después', 'de', 'unos', 'meses', 'de', 'terapia', 'jajaja', 'y', 'es', 'verdad', 'todo', 'lo', 'dice', 'de', 'los', 'ejercicios', 'jajaja', 'no', 'puedo', 'creerlo', 'emoji_corazón_rojo', 'que', 'ando', 'haciendo', 'lo', 'mismo', 'emoji_cara_llorando_de_risa', 'emoji_cara_llorando_de_risa', 'emoji_cara_llorando_de_risa', 'emoji_cara_llorando_de_risa', 'y', 'a', 'mi', 'cerebro', 'le', 'encanta', 'lo', 'del', 'libro', 'agradecimiento', 'jajaja', 'emoji_cara_llorando_de_risa', 'emoji_cara_llorando_de_risa'];['jajaja', 'omg', 'exclamacion', 'exclamacion', 'salir', 'video', 'mes', 'terapia', 'jajaja', 'ejercicio', 'jajajo', 'no', 'creer él', 'emoji_corazón_rojo', 'ar', 'emoji_cara_llorando_de_risa', 'emoji_cara_llorando_de_risa', 'emoji_cara_llorando_de_risa', 'emoji_cara_llorando_de_risa', 'cerebro', 'encantar', 'libro', 'agradecimiento', 'jajajar', 'emoji_cara_llorando_de_risa', 'emoji_cara_llorando_de_risa'];jajaja omg exclamacion exclamacion salir video mes terapia jajaja ejercicio jajajo no creer él emoji_corazón_rojo ar emoji_cara_llorando_de_risa emoji_cara_llorando_de_risa emoji_cara_llorando_de_risa emoji_cara_llorando_de_risa cerebro encantar libro agradecimiento jajajar emoji_cara_llorando_de_risa emoji_cara_llorando_de_risa;Jajaja omg.!! Me salió esta video después de unos meses de terapia jajaja Y es verdad todo lo dice de los ejercicios jajaja No puedo creerlo emoji_corazón_rojo que ando haciendo lo mismo emoji_cara_llorando_de_risa emoji_cara_llorando_de_risa emoji_cara_llorando_de_risa emoji_cara_llorando_de_risa Y a mi cerebro le encanta. Lo del libro agradecimiento jajaja emoji_cara_llorando_de_risa emoji_cara_llorando_de_risa;True;youtube_02;Alegría;;;
Fanny Psiquiatra;https://www.youtube.com/watch?v=GNaPgsFEP88;Hola a todos, soy  de Argentina y este video  me encantó...super bien explicado. En julio del 2020 y  debido a la pandemia que estamos atravezando, me dio angustia y ansiedad y mi psicóloga me deribó a una psiquiatra y me recetó escitalopram...me hizo efecto a los 15 dias...es super eficaz. Ya estoy en la etapa de dejarlo. Por consulta con mi psiquiatra...que me dijo que es un tratamiento de como mínimo de 9 meses y ya estoy muy bien.;2021-07-26T01:44:54Z;Miedo;Hola a todos, soy de Argentina y este video me encantó...super bien explicado. En julio del 2020 y debido a la pandemia que estamos atravezando, me dio angustia y ansiedad y mi psicóloga me deribó a una psiquiatra y me recetó escitalopram...me hizo efecto a los 15 dias...es super eficaz. Ya estoy en la etapa de dejarlo. Por consulta con mi psiquiatra...que me dijo que es un tratamiento de como mínimo de 9 meses y ya estoy muy bien.;['hola', 'a', 'todos', 'soy', 'de', 'argentina', 'y', 'este', 'video', 'me', 'encantó', 'super', 'bien', 'explicado', 'en', 'julio', 'del', '2020', 'y', 'debido', 'a', 'la', 'pandemia', 'que', 'estamos', 'atravezando', 'me', 'dio', 'angustia', 'y', 'ansiedad', 'y', 'mi', 'psicóloga', 'me', 'deribó', 'a', 'una', 'psiquiatra', 'y', 'me', 'recetó', 'escitalopram', 'me', 'hizo', 'efecto', 'a', 'los', '15', 'dias', 'es', 'super', 'eficaz', 'ya', 'estoy', 'en', 'la', 'etapa', 'de', 'dejarlo', 'por', 'consulta', 'con', 'mi', 'psiquiatra', 'que', 'me', 'dijo', 'que', 'es', 'un', 'tratamiento', 'de', 'como', 'mínimo', 'de', '9', 'meses', 'y', 'ya', 'estoy', 'muy', 'bien'];['hola', 'argentina', 'video', 'encantar', 'super', 'bien', 'explicado', 'julio', '2020', 'pandemia', 'atravezar', 'angustia', 'ansiedad', 'psicóloga', 'deribó', 'psiquiatra', 'recetar', 'escitalopram', 'efecto', '15', 'super', 'eficaz', 'etapa', 'dejar él', 'consulta', 'psiquiatra', 'tratamiento', 'mínimo', '9', 'mes', 'mucho', 'bien'];hola argentina video encantar super bien explicado julio 2020 pandemia atravezar angustia ansiedad psicóloga deribó psiquiatra recetar escitalopram efecto 15 super eficaz etapa dejar él consulta psiquiatra tratamiento mínimo 9 mes mucho bien;Hola a todos, soy de Argentina y este video me encantó...super bien explicado. En julio del 2020 y debido a la pandemia que estamos atravezando, me dio angustia y ansiedad y mi psicóloga me deribó a una psiquiatra y me recetó escitalopram...me hizo efecto a los 15 dias...es super eficaz. Ya estoy en la etapa de dejarlo. Por consulta con mi psiquiatra...que me dijo que es un tratamiento de como mínimo de 9 meses y ya estoy muy bien.;True;youtube_02;Miedo;;;
Fanny Psiquiatra;https://www.youtube.com/watch?v=GNaPgsFEP88;"Yo sufró de transtorno de ansiedad generalizada, estuve casi 5 meses con medicación Paroxetina, Escitalopram y Alprozolam para dormir que me recetó mi neuro-psiquiatra. Pero gracias a Dios y a mi psicóloga ya no es necesaria la medicación; porq ya puedo controlar mi ansiedad pero mis terapias fueron constantes (2 veces por semana). Aún sigo en terapia pero ahora ya puedo llevar una vida más feliz, ahora me recetaron complejos de vitaminas  y magnesio  porque baje mucho de peso.

Yo cuando comencé con mi tratamiento pensé que no había solución para mi ansiedad; así que me encerré en mi burbuja y no avanzaba. A pesar que con la medicación y terapia estaba mejorando yo sólo me fijaba en los sintomas que aún tenía. Hasta que sola me dí cuenta que a pesar q mi psiquiatra y mi psicóloga se esforzaban en darme el mejor tratamiento, si yo no ponía de mi parte nunca me iba a sanar. Aunque suene cliché pero es verdad, el verdadero poder lo tenemos los pacientes porq al fin y al cabo estamos luchando con nuestros pensamiento negativos y los profesionales sólo son un acompañamientos para facilitar tu recuperación.";2021-10-29T11:27:19Z;Miedo;"Yo sufró de transtorno de ansiedad generalizada, estuve casi 5 meses con medicación Paroxetina, Escitalopram y Alprozolam para dormir que me recetó mi neuro-psiquiatra. Pero gracias a Dios y a mi psicóloga ya no es necesaria la medicación; porq ya puedo controlar mi ansiedad pero mis terapias fueron constantes (2 veces por semana). Aún sigo en terapia pero ahora ya puedo llevar una vida más feliz, ahora me recetaron complejos de vitaminas y magnesio porque baje mucho de peso. Yo cuando comencé con mi tratamiento pensé que no había solución para mi ansiedad; así que me encerré en mi burbuja y no avanzaba. A pesar que con la medicación y terapia estaba mejorando yo sólo me fijaba en los sintomas que aún tenía. Hasta que sola me dí cuenta que a pesar q mi psiquiatra y mi psicóloga se esforzaban en darme el mejor tratamiento, si yo no ponía de mi parte nunca me iba a sanar. Aunque suene cliché pero es verdad, el verdadero poder lo tenemos los pacientes porq al fin y al cabo estamos luchando con nuestros pensamiento negativos y los profesionales sólo son un acompañamientos para facilitar tu recuperación.";['yo', 'sufró', 'de', 'transtorno', 'de', 'ansiedad', 'generalizada', 'estuve', 'casi', '5', 'meses', 'con', 'medicación', 'paroxetina', 'escitalopram', 'y', 'alprozolam', 'para', 'dormir', 'que', 'me', 'recetó', 'mi', 'neuro', 'psiquiatra', 'pero', 'gracias', 'a', 'dios', 'y', 'a', 'mi', 'psicóloga', 'ya', 'no', 'es', 'necesaria', 'la', 'medicación', 'porq', 'ya', 'puedo', 'controlar', 'mi', 'ansiedad', 'pero', 'mis', 'terapias', 'fueron', 'constantes', '2', 'veces', 'por', 'semana', 'aún', 'sigo', 'en', 'terapia', 'pero', 'ahora', 'ya', 'puedo', 'llevar', 'una', 'vida', 'más', 'feliz', 'ahora', 'me', 'recetaron', 'complejos', 'de', 'vitaminas', 'y', 'magnesio', 'porque', 'baje', 'mucho', 'de', 'peso', 'yo', 'cuando', 'comencé', 'con', 'mi', 'tratamiento', 'pensé', 'que', 'no', 'había', 'solución', 'para', 'mi', 'ansiedad', 'así', 'que', 'me', 'encerré', 'en', 'mi', 'burbuja', 'y', 'no', 'avanzaba', 'a', 'pesar', 'que', 'con', 'la', 'medicación', 'y', 'terapia', 'estaba', 'mejorando', 'yo', 'sólo', 'me', 'fijaba', 'en', 'los', 'sintomas', 'que', 'aún', 'tenía', 'hasta', 'que', 'sola', 'me', 'dí', 'cuenta', 'que', 'a', 'pesar', 'q', 'mi', 'psiquiatra', 'y', 'mi', 'psicóloga', 'se', 'esforzaban', 'en', 'darme', 'el', 'mejor', 'tratamiento', 'si', 'yo', 'no', 'ponía', 'de', 'mi', 'parte', 'nunca', 'me', 'iba', 'a', 'sanar', 'aunque', 'suene', 'cliché', 'pero', 'es', 'verdad', 'el', 'verdadero', 'poder', 'lo', 'tenemos', 'los', 'pacientes', 'porq', 'al', 'fin', 'y', 'al', 'cabo', 'estamos', 'luchando', 'con', 'nuestros', 'pensamiento', 'negativos', 'y', 'los', 'profesionales', 'sólo', 'son', 'un', 'acompañamientos', 'para', 'facilitar', 'tu', 'recuperación'];['sufró', 'transtorno', 'ansiedad', 'generalizado', 'estar', '5', 'mes', 'medicación', 'paroxetín', 'escitalopram', 'alprozolam', 'dormir', 'recetar', 'neuro', 'psiquiatra', 'gracias', 'dio', 'psicóloga', 'no', 'necesario', 'medicación', 'porq', 'controlar', 'ansiedad', 'terapia', 'constante', '2', 'semana', 'seguir', 'terapia', 'vida', 'más', 'feliz', 'recetar', 'complejo', 'vitamina', 'magnesio', 'bajar', 'peso', 'comencé', 'tratamiento', 'pensar', 'no', 'solución', 'ansiedad', 'encerrar', 'burbuja', 'no', 'avanzar', 'medicación', 'terapia', 'mejorar', 'fijar', 'sintoma', 'dí', 'q', 'psiquiatra', 'psicóloga', 'esforzar', 'dar yo', 'mejor', 'tratamiento', 'si', 'no', 'poner', 'nunca', 'ir', 'sanar', 'sonar', 'cliché', 'paciente', 'porq', 'cabo', 'luchar', 'pensamiento', 'negativo', 'profesional', 'acompañamiento', 'facilitar', 'recuperación'];sufró transtorno ansiedad generalizado estar 5 mes medicación paroxetín escitalopram alprozolam dormir recetar neuro psiquiatra gracias dio psicóloga no necesario medicación porq controlar ansiedad terapia constante 2 semana seguir terapia vida más feliz recetar complejo vitamina magnesio bajar peso comencé tratamiento pensar no solución ansiedad encerrar burbuja no avanzar medicación terapia mejorar fijar sintoma dí q psiquiatra psicóloga esforzar dar yo mejor tratamiento si no poner nunca ir sanar sonar cliché paciente porq cabo luchar pensamiento negativo profesional acompañamiento facilitar recuperación;"Yo sufró de transtorno de ansiedad generalizada, estuve casi 5 meses con medicación Paroxetina, Escitalopram y Alprozolam para dormir que me recetó mi neuro-psiquiatra. Pero gracias a Dios y a mi psicóloga ya no es necesaria la medicación; porq ya puedo controlar mi ansiedad pero mis terapias fueron constantes (2 veces por semana). Aún sigo en terapia pero ahora ya puedo llevar una vida más feliz, ahora me recetaron complejos de vitaminas y magnesio porque baje mucho de peso. Yo cuando comencé con mi tratamiento pensé que no había solución para mi ansiedad; así que me encerré en mi burbuja y no avanzaba. A pesar que con la medicación y terapia estaba mejorando yo sólo me fijaba en los sintomas que aún tenía. Hasta que sola me dí cuenta que a pesar q mi psiquiatra y mi psicóloga se esforzaban en darme el mejor tratamiento, si yo no ponía de mi parte nunca me iba a sanar. Aunque suene cliché pero es verdad, el verdadero poder lo tenemos los pacientes porq al fin y al cabo estamos luchando con nuestros pensamiento negativos y los profesionales sólo son un acompañamientos para facilitar tu recuperación.";True;youtube_02;Miedo;;;
La Ansiedad Me Tiene Miedo;https://www.youtube.com/watch?v=LscAPJGg3n4;"Heres grande muchas graSias por
 Tu graaaan ayuda muchas graSias";2024-03-16T22:37:03Z;Alegría;Heres grande muchas graSias por Tu graaaan ayuda muchas graSias;['heres', 'grande', 'muchas', 'grasias', 'por', 'tu', 'graaaan', 'ayuda', 'muchas', 'grasias'];['her', 'grasia', 'graaaan', 'ayuda', 'grasia'];her grasia graaaan ayuda grasia;Heres grande muchas graSias por Tu graaaan ayuda muchas graSias;True;youtube_02;Alegría;;;
Manuel José Arango;https://www.youtube.com/watch?v=Vs_5tV3-kQM;Mi preguntas  como queda ka cabeza de un psicologo al atender tantas gente   con desvarios emocionales;2026-03-04T07:37:29Z;Sorpresa;Mi preguntas como queda ka cabeza de un psicologo al atender tantas gente con desvarios emocionales;['mi', 'preguntas', 'como', 'queda', 'ka', 'cabeza', 'de', 'un', 'psicologo', 'al', 'atender', 'tantas', 'gente', 'con', 'desvarios', 'emocionales'];['pregunta', 'quedar', 'ka', 'cabezar', 'psicologo', 'atender', 'tanto', 'gente', 'desvario', 'emocional'];pregunta quedar ka cabezar psicologo atender tanto gente desvario emocional;Mi preguntas como queda ka cabeza de un psicologo al atender tantas gente con desvarios emocionales;True;youtube_02;Sorpresa;;;
Psych Hub;https://www.youtube.com/watch?v=c5sW6t3eyQA;Alguien más sufre de insomnio  y aveces cuando va quedando dormido le vienen pensamientos y alucinaciones;2023-03-01T02:46:05Z;Asco;Alguien más sufre de insomnio y aveces cuando va quedando dormido le vienen pensamientos y alucinaciones;['alguien', 'más', 'sufre', 'de', 'insomnio', 'y', 'aveces', 'cuando', 'va', 'quedando', 'dormido', 'le', 'vienen', 'pensamientos', 'y', 'alucinaciones'];['alguien', 'más', 'sufrir', 'insomnio', 'avez', 'quedar', 'dormido', 'venir', 'pensamiento', 'alucinación'];alguien más sufrir insomnio avez quedar dormido venir pensamiento alucinación;Alguien más sufre de insomnio y aveces cuando va quedando dormido le vienen pensamientos y alucinaciones;True;youtube_02;Asco;;;
