Name ;Comment URL;content;Date;"emocion";content_global;tokens;lemas;content_clasico;content_transformers
Angie Durand Flores;https://www.tiktok.com/@angiedurandflores5/video/7354011532155489541?comment_id=7354026137057985285;la depresión es una enfermedad que no se va, siempre está ahí, como una sombra, solo de aprende a vivir con eso 🥺;2024-04-04 14:57:30;"Tristeza";la depresión es una enfermedad que no se va, siempre está ahí, como una sombra, solo de aprende a vivir con eso emoji_cara_suplicante;['la', 'depresión', 'es', 'una', 'enfermedad', 'que', 'no', 'se', 'va', 'siempre', 'está', 'ahí', 'como', 'una', 'sombra', 'solo', 'de', 'aprende', 'a', 'vivir', 'con', 'eso', 'emoji_cara_suplicante'];['depresión', 'enfermedad', 'no', 'siempre', 'sombra', 'aprender', 'vivir', 'emoji_cara_suplicante'];depresión enfermedad no siempre sombra aprender vivir emoji_cara_suplicante;la depresión es una enfermedad que no se va, siempre está ahí, como una sombra, solo de aprende a vivir con eso emoji_cara_suplicante
Isaac Yluquiz Contre;https://www.tiktok.com/@pedrito598/video/7354011532155489541?comment_id=7354032082915689222;estoy dejando mi vida en la ruina no tengo necesidad de querer hacer nada estoy dejando de lado mis sueños y sinceramente es como si ya no quisera;2024-04-04 15:20:32;"Tristeza";estoy dejando mi vida en la ruina no tengo necesidad de querer hacer nada estoy dejando de lado mis sueños y sinceramente es como si ya no quisera;['estoy', 'dejando', 'mi', 'vida', 'en', 'la', 'ruina', 'no', 'tengo', 'necesidad', 'de', 'querer', 'hacer', 'nada', 'estoy', 'dejando', 'de', 'lado', 'mis', 'sueños', 'y', 'sinceramente', 'es', 'como', 'si', 'ya', 'no', 'quisera'];['dejar', 'vida', 'ruina', 'no', 'necesidad', 'querer', 'nada', 'dejar', 'sueño', 'sinceramente', 'si', 'no', 'quiserar'];dejar vida ruina no necesidad querer nada dejar sueño sinceramente si no quiserar;estoy dejando mi vida en la ruina no tengo necesidad de querer hacer nada estoy dejando de lado mis sueños y sinceramente es como si ya no quisera
skudexa;https://www.tiktok.com/@skudexa0/video/7354011532155489541?comment_id=7354036545680245509;🥺🥺🥺;2024-04-04 15:37:51;"Tristeza";emoji_cara_suplicante emoji_cara_suplicante emoji_cara_suplicante;['emoji_cara_suplicante', 'emoji_cara_suplicante', 'emoji_cara_suplicante'];['emoji_cara_suplicante', 'emoji_cara_suplicante', 'emoji_cara_suplicante'];emoji_cara_suplicante emoji_cara_suplicante emoji_cara_suplicante;emoji_cara_suplicante emoji_cara_suplicante emoji_cara_suplicante
Ándre;https://www.tiktok.com/@andre_notfound/video/7354011532155489541?comment_id=7354047360798294790;Cuando no se siente nada?;2024-04-04 16:19:49;"Sorpresa";Cuando no se siente nada?;['cuando', 'no', 'se', 'siente', 'nada', 'interrogacion'];['no', 'sentir', 'nada', 'interrogacion'];no sentir nada interrogacion;Cuando no se siente nada?
𝓘𝓶𝓮𝓵𝓲𝓼𝓼𝓪 🌙;https://www.tiktok.com/@imelissabel/video/7354011532155489541?comment_id=7360761971844809478;Dime si está bien solo querer dormir 🛌 y llorar no tengo interés en nada ando apagada;2024-04-22 18:35:59;"Tristeza";Dime si está bien solo querer dormir emoji_persona_en_la_cama y llorar no tengo interés en nada ando apagada;['dime', 'si', 'está', 'bien', 'solo', 'querer', 'dormir', 'emoji_persona_en_la_cama', 'y', 'llorar', 'no', 'tengo', 'interés', 'en', 'nada', 'ando', 'apagada'];['dime', 'si', 'bien', 'querer', 'dormir', 'emoji_persona_en_la_cama', 'llorar', 'no', 'interés', 'nada', 'ar', 'apagado'];dime si bien querer dormir emoji_persona_en_la_cama llorar no interés nada ar apagado;Dime si está bien solo querer dormir emoji_persona_en_la_cama y llorar no tengo interés en nada ando apagada
Alessandra Aquije;https://www.tiktok.com/@aleaquije/video/7354011532155489541?comment_id=7361647064088298245;@@pablocesarfloresr pero ya estoy saliendo adelante 🥺;2024-04-25 03:50:41;"Alegría";@ pero ya estoy saliendo adelante emoji_cara_suplicante;['pero', 'ya', 'estoy', 'saliendo', 'adelante', 'emoji_cara_suplicante'];['salir', 'emoji_cara_suplicante'];salir emoji_cara_suplicante;@ pero ya estoy saliendo adelante emoji_cara_suplicante
Claudio Torres Chereque;https://www.tiktok.com/@claudiovtorresche/video/7354011532155489541?comment_id=7362737478480184070;y si esas dos situaciones las siento por años? 🥺;2024-04-28 02:21:59;"Tristeza";y si esas dos situaciones las siento por años? emoji_cara_suplicante;['y', 'si', 'esas', 'dos', 'situaciones', 'las', 'siento', 'por', 'años', 'interrogacion', 'emoji_cara_suplicante'];['si', 'situación', 'sentir', 'año', 'interrogacion', 'emoji_cara_suplicante'];si situación sentir año interrogacion emoji_cara_suplicante;y si esas dos situaciones las siento por años? emoji_cara_suplicante
Nurmustafa22;https://www.tiktok.com/@nurmustafa22/video/7354011532155489541?comment_id=7363833489382277893;😳😳😳;2024-05-01 01:15:02;"Sorpresa";emoji_cara_sonrojada emoji_cara_sonrojada emoji_cara_sonrojada;['emoji_cara_sonrojada', 'emoji_cara_sonrojada', 'emoji_cara_sonrojada'];['emoji_cara_sonrojado', 'emoji_cara_sonrojado', 'emoji_cara_sonrojadar'];emoji_cara_sonrojado emoji_cara_sonrojado emoji_cara_sonrojadar;emoji_cara_sonrojada emoji_cara_sonrojada emoji_cara_sonrojada
NicolasCece;https://www.tiktok.com/@nicolascespedes.c/video/7354011532155489541?comment_id=7363888881789436678;Hace 2 años tengo depresión entonces 💀;2024-05-01 04:50:01;"Tristeza";Hace 2 años tengo depresión entonces emoji_calavera;['hace', '2', 'años', 'tengo', 'depresión', 'entonces', 'emoji_calavera'];['2', 'año', 'depresión', 'emoji_calavero'];2 año depresión emoji_calavero;Hace 2 años tengo depresión entonces emoji_calavera
Alejandro Inocente;https://www.tiktok.com/@alejandro10995/video/7354011532155489541?comment_id=7363897093410800390;hace años fui diagnósticado con ansiedad y transtorno depresivo 😞pero mi alrededor cree que es solo una etapa y noc que más hacer lucho solo contra esto;2024-05-01 05:21:54;"Tristeza";hace años fui diagnósticado con ansiedad y transtorno depresivo emoji_cara_decepcionada pero mi alrededor cree que es solo una etapa y noc que más hacer lucho solo contra esto;['hace', 'años', 'fui', 'diagnósticado', 'con', 'ansiedad', 'y', 'transtorno', 'depresivo', 'emoji_cara_decepcionada', 'pero', 'mi', 'alrededor', 'cree', 'que', 'es', 'solo', 'una', 'etapa', 'y', 'noc', 'que', 'más', 'hacer', 'lucho', 'solo', 'contra', 'esto'];['año', 'diagnósticar', 'ansiedad', 'transtorno', 'depresivo', 'emoji_cara_decepcionado', 'creer', 'etapa', 'noc', 'más', 'lucho'];año diagnósticar ansiedad transtorno depresivo emoji_cara_decepcionado creer etapa noc más lucho;hace años fui diagnósticado con ansiedad y transtorno depresivo emoji_cara_decepcionada pero mi alrededor cree que es solo una etapa y noc que más hacer lucho solo contra esto
