source_name;source_url;content;date_published;emocion;content_global;tokens;lemas;content_clasico;content_transformers;is_verified;origin
José Luis Marín - Formación Psicoterapia;https://www.youtube.com/watch?v=ghkLhyQVhvQ;Yo se lo daría usted solo un día... a las 44 anos me dieron el diagnóstico yaveria cómo se toma la pastilla;2026-03-11T12:07:24Z;Tristeza;Yo se lo daría usted solo un día... a las 44 anos me dieron el diagnóstico yaveria cómo se toma la pastilla;['yo', 'se', 'lo', 'daría', 'usted', 'solo', 'un', 'día', 'a', 'las', '44', 'anos', 'me', 'dieron', 'el', 'diagnóstico', 'yaveria', 'cómo', 'se', 'toma', 'la', 'pastilla'];['dar', '44', 'ano', 'diagnóstico', 'yaveria', 'tomar', 'pastilla'];dar 44 ano diagnóstico yaveria tomar pastilla;Yo se lo daría usted solo un día... a las 44 anos me dieron el diagnóstico yaveria cómo se toma la pastilla;True;youtube_02
Fernando Pena;https://www.youtube.com/watch?v=TI4zyEC7YYc;Me pasa que me dan esos ataques pulsaciones  y pienso que tengo mil enfermedades que me va a dar un ataque al corazón que voy a morir es difícil hay veces que uno no sabe que pensar pero estos videos me ayudan a saber que es ansiedad y me ayudan a disipar muchos pensamientos animo vanesa gracias por compartir tus experiencias no es fácil hacerlo pero nos ayudas con tus palabras al doctor gracias por estos espacios dios los bendiga y el espíritu de dios nos acompañe siempre saludos desde medellin Colombia;2022-10-27T09:34:37Z;Miedo;Me pasa que me dan esos ataques pulsaciones y pienso que tengo mil enfermedades que me va a dar un ataque al corazón que voy a morir es difícil hay veces que uno no sabe que pensar pero estos videos me ayudan a saber que es ansiedad y me ayudan a disipar muchos pensamientos animo vanesa gracias por compartir tus experiencias no es fácil hacerlo pero nos ayudas con tus palabras al doctor gracias por estos espacios dios los bendiga y el espíritu de dios nos acompañe siempre saludos desde medellin Colombia;['me', 'pasa', 'que', 'me', 'dan', 'esos', 'ataques', 'pulsaciones', 'y', 'pienso', 'que', 'tengo', 'mil', 'enfermedades', 'que', 'me', 'va', 'a', 'dar', 'un', 'ataque', 'al', 'corazón', 'que', 'voy', 'a', 'morir', 'es', 'difícil', 'hay', 'veces', 'que', 'uno', 'no', 'sabe', 'que', 'pensar', 'pero', 'estos', 'videos', 'me', 'ayudan', 'a', 'saber', 'que', 'es', 'ansiedad', 'y', 'me', 'ayudan', 'a', 'disipar', 'muchos', 'pensamientos', 'animo', 'vanesa', 'gracias', 'por', 'compartir', 'tus', 'experiencias', 'no', 'es', 'fácil', 'hacerlo', 'pero', 'nos', 'ayudas', 'con', 'tus', 'palabras', 'al', 'doctor', 'gracias', 'por', 'estos', 'espacios', 'dios', 'los', 'bendiga', 'y', 'el', 'espíritu', 'de', 'dios', 'nos', 'acompañe', 'siempre', 'saludos', 'desde', 'medellin', 'colombia'];['pasar', 'ataque', 'pulsación', 'pensar', 'mil', 'enfermedad', 'ataque', 'corazón', 'morir', 'difícil', 'no', 'pensar', 'video', 'ayudar', 'ansiedad', 'ayudar', 'disipar', 'pensamiento', 'animo', 'vanés', 'gracias', 'compartir', 'experiencia', 'no', 'fácil', 'ayudar', 'palabra', 'doctor', 'gracias', 'espacio', 'dio', 'bendiga', 'espíritu', 'dios', 'acompañar', 'siempre', 'saludo', 'medellin', 'colombia'];pasar ataque pulsación pensar mil enfermedad ataque corazón morir difícil no pensar video ayudar ansiedad ayudar disipar pensamiento animo vanés gracias compartir experiencia no fácil ayudar palabra doctor gracias espacio dio bendiga espíritu dios acompañar siempre saludo medellin colombia;Me pasa que me dan esos ataques pulsaciones y pienso que tengo mil enfermedades que me va a dar un ataque al corazón que voy a morir es difícil hay veces que uno no sabe que pensar pero estos videos me ayudan a saber que es ansiedad y me ayudan a disipar muchos pensamientos animo vanesa gracias por compartir tus experiencias no es fácil hacerlo pero nos ayudas con tus palabras al doctor gracias por estos espacios dios los bendiga y el espíritu de dios nos acompañe siempre saludos desde medellin Colombia;True;youtube_02
Psi Mammoliti;https://www.youtube.com/watch?v=4OIYrxH48F4;"No entiendo que es lo que tengo, cuando salgo a algun lugar dónde nadie me conoce puedo hablar preguntar socialisar y me siento segura, no al cien pero normal, me siento feliz de estar sola. 
Pero cuando son personas conocidas, me siento insegura al hablar o hacer cosas, incluso al caminar, pareciera que entre más me conoce la gente me dan ganas de alejarme de ellos, oculto mis gustos, incluso de mi familia, hace poco saben sobre mis gustos, igual no me preguntaban, así que no me sentia obligada a decirles, esto me esa afectando mucho ya que por la pandemia no estudie y no consegui trabajo, luego me enferme y empeoró, ahora no tengo experiencia laboral y me siento muy mal conmigo misma, ya que cuando quise hacerlo me ponía excusas o escuhaba a mi mamá decir que ese trabajo no era bueno o que esperara para hacer el examen de la universidad, igual tuve una relación de 5 años que termino de una forma muy mala y me hizo hacerme más antisocial, creyendo que solo el me entendia y haciendo de soporte emocional para el y sus problemas, siento que desperdicie tanto tiempo siendo antisocial.";2026-02-04T22:10:22Z;Alegría;No entiendo que es lo que tengo, cuando salgo a algun lugar dónde nadie me conoce puedo hablar preguntar socialisar y me siento segura, no al cien pero normal, me siento feliz de estar sola. Pero cuando son personas conocidas, me siento insegura al hablar o hacer cosas, incluso al caminar, pareciera que entre más me conoce la gente me dan ganas de alejarme de ellos, oculto mis gustos, incluso de mi familia, hace poco saben sobre mis gustos, igual no me preguntaban, así que no me sentia obligada a decirles, esto me esa afectando mucho ya que por la pandemia no estudie y no consegui trabajo, luego me enferme y empeoró, ahora no tengo experiencia laboral y me siento muy mal conmigo misma, ya que cuando quise hacerlo me ponía excusas o escuhaba a mi mamá decir que ese trabajo no era bueno o que esperara para hacer el examen de la universidad, igual tuve una relación de 5 años que termino de una forma muy mala y me hizo hacerme más antisocial, creyendo que solo el me entendia y haciendo de soporte emocional para el y sus problemas, siento que desperdicie tanto tiempo siendo antisocial.;['no', 'entiendo', 'que', 'es', 'lo', 'que', 'tengo', 'cuando', 'salgo', 'a', 'algun', 'lugar', 'dónde', 'nadie', 'me', 'conoce', 'puedo', 'hablar', 'preguntar', 'socialisar', 'y', 'me', 'siento', 'segura', 'no', 'al', 'cien', 'pero', 'normal', 'me', 'siento', 'feliz', 'de', 'estar', 'sola', 'pero', 'cuando', 'son', 'personas', 'conocidas', 'me', 'siento', 'insegura', 'al', 'hablar', 'o', 'hacer', 'cosas', 'incluso', 'al', 'caminar', 'pareciera', 'que', 'entre', 'más', 'me', 'conoce', 'la', 'gente', 'me', 'dan', 'ganas', 'de', 'alejarme', 'de', 'ellos', 'oculto', 'mis', 'gustos', 'incluso', 'de', 'mi', 'familia', 'hace', 'poco', 'saben', 'sobre', 'mis', 'gustos', 'igual', 'no', 'me', 'preguntaban', 'así', 'que', 'no', 'me', 'sentia', 'obligada', 'a', 'decirles', 'esto', 'me', 'esa', 'afectando', 'mucho', 'ya', 'que', 'por', 'la', 'pandemia', 'no', 'estudie', 'y', 'no', 'consegui', 'trabajo', 'luego', 'me', 'enferme', 'y', 'empeoró', 'ahora', 'no', 'tengo', 'experiencia', 'laboral', 'y', 'me', 'siento', 'muy', 'mal', 'conmigo', 'misma', 'ya', 'que', 'cuando', 'quise', 'hacerlo', 'me', 'ponía', 'excusas', 'o', 'escuhaba', 'a', 'mi', 'mamá', 'decir', 'que', 'ese', 'trabajo', 'no', 'era', 'bueno', 'o', 'que', 'esperara', 'para', 'hacer', 'el', 'examen', 'de', 'la', 'universidad', 'igual', 'tuve', 'una', 'relación', 'de', '5', 'años', 'que', 'termino', 'de', 'una', 'forma', 'muy', 'mala', 'y', 'me', 'hizo', 'hacerme', 'más', 'antisocial', 'creyendo', 'que', 'solo', 'el', 'me', 'entendia', 'y', 'haciendo', 'de', 'soporte', 'emocional', 'para', 'el', 'y', 'sus', 'problemas', 'siento', 'que', 'desperdicie', 'tanto', 'tiempo', 'siendo', 'antisocial'];['no', 'entender', 'salgo', 'algun', 'lugar', 'nadie', 'conocer', 'hablar', 'preguntar', 'socialisar', 'sentir', 'seguro', 'no', 'cien', 'normal', 'sentir', 'feliz', 'persona', 'conocido', 'sentir', 'insegura', 'hablar', 'cosa', 'caminar', 'pareciera', 'más', 'conocer', 'gente', 'gana', 'alejar yo', 'ocultar', 'gusto', 'familia', 'poco', 'gusto', 'no', 'preguntar', 'no', 'sentia', 'obligado', 'decir él', 'afectar', 'pandemia', 'no', 'estudie', 'no', 'consegui', 'trabajo', 'enfermar', 'empeorar', 'no', 'experiencia', 'laboral', 'sentir', 'mucho', 'mal', 'querer', 'poner', 'excusa', 'escuhar', 'mamá', 'trabajo', 'no', 'bueno', 'esperar', 'examen', 'universidad', 'tener', 'relación', '5', 'año', 'termino', 'forma', 'mucho', 'malo', 'hacer yo', 'más', 'antisocial', 'creer', 'entendiar', 'soporte', 'emocional', 'problema', 'sentir', 'desperdiciar', 'tiempo', 'antisocial'];no entender salgo algun lugar nadie conocer hablar preguntar socialisar sentir seguro no cien normal sentir feliz persona conocido sentir insegura hablar cosa caminar pareciera más conocer gente gana alejar yo ocultar gusto familia poco gusto no preguntar no sentia obligado decir él afectar pandemia no estudie no consegui trabajo enfermar empeorar no experiencia laboral sentir mucho mal querer poner excusa escuhar mamá trabajo no bueno esperar examen universidad tener relación 5 año termino forma mucho malo hacer yo más antisocial creer entendiar soporte emocional problema sentir desperdiciar tiempo antisocial;No entiendo que es lo que tengo, cuando salgo a algun lugar dónde nadie me conoce puedo hablar preguntar socialisar y me siento segura, no al cien pero normal, me siento feliz de estar sola. Pero cuando son personas conocidas, me siento insegura al hablar o hacer cosas, incluso al caminar, pareciera que entre más me conoce la gente me dan ganas de alejarme de ellos, oculto mis gustos, incluso de mi familia, hace poco saben sobre mis gustos, igual no me preguntaban, así que no me sentia obligada a decirles, esto me esa afectando mucho ya que por la pandemia no estudie y no consegui trabajo, luego me enferme y empeoró, ahora no tengo experiencia laboral y me siento muy mal conmigo misma, ya que cuando quise hacerlo me ponía excusas o escuhaba a mi mamá decir que ese trabajo no era bueno o que esperara para hacer el examen de la universidad, igual tuve una relación de 5 años que termino de una forma muy mala y me hizo hacerme más antisocial, creyendo que solo el me entendia y haciendo de soporte emocional para el y sus problemas, siento que desperdicie tanto tiempo siendo antisocial.;True;youtube_02
Dr. Agustin Landivar;https://www.youtube.com/watch?v=oh_tNV1XIrs;Muchas bendiciones, salud  y muchos años de vida para que puedas seguir  ayudándonos doctor  , muchas cosas buenas  y gracias a Dios  por  darle esa maravillosa  sabiduría  y oportunidad  de poder ayudarnos  mil gracias  desde Cuba  Tatiana;2023-05-26T00:59:08Z;Alegría;Muchas bendiciones, salud y muchos años de vida para que puedas seguir ayudándonos doctor , muchas cosas buenas y gracias a Dios por darle esa maravillosa sabiduría y oportunidad de poder ayudarnos mil gracias desde Cuba Tatiana;['muchas', 'bendiciones', 'salud', 'y', 'muchos', 'años', 'de', 'vida', 'para', 'que', 'puedas', 'seguir', 'ayudándonos', 'doctor', 'muchas', 'cosas', 'buenas', 'y', 'gracias', 'a', 'dios', 'por', 'darle', 'esa', 'maravillosa', 'sabiduría', 'y', 'oportunidad', 'de', 'poder', 'ayudarnos', 'mil', 'gracias', 'desde', 'cuba', 'tatiana'];['bendición', 'salud', 'año', 'vida', 'poder', 'seguir', 'ayudándono', 'doctor', 'cosa', 'gracias', 'dios', 'dar él', 'maravilloso', 'sabiduría', 'oportunidad', 'ayudarno', 'mil', 'gracia', 'cuba', 'tatián'];bendición salud año vida poder seguir ayudándono doctor cosa gracias dios dar él maravilloso sabiduría oportunidad ayudarno mil gracia cuba tatián;Muchas bendiciones, salud y muchos años de vida para que puedas seguir ayudándonos doctor , muchas cosas buenas y gracias a Dios por darle esa maravillosa sabiduría y oportunidad de poder ayudarnos mil gracias desde Cuba Tatiana;True;youtube_02
Mr Doctor;https://www.youtube.com/watch?v=FzD22LJLGyU;Yo mire toda la entrevistas mirenla, tambien el Dr. Esta hablando de una mujer que dio una entrevista que se llama Mariana es Europea segun dice a ella la engañaron sobre la manga gastrica y segun ella investigo antes de hacersela y no encotro las  secuelas por eso el Dr.  Le dice que no leio  bien, que siempre se nos dice los pros y contras que haci como algunas personales les perjudica tambien ayuda mucho en problemas con la obesidad y ya con esas enfermedades lo mejor es ayudarse como sea un comenzar otra ves con disiplina y fuerza de voluntad que todo tiene sus pros y sus contras.;2025-10-12T13:31:46Z;Sorpresa;Yo mire toda la entrevistas mirenla, tambien el Dr. Esta hablando de una mujer que dio una entrevista que se llama Mariana es Europea segun dice a ella la engañaron sobre la manga gastrica y segun ella investigo antes de hacersela y no encotro las secuelas por eso el Dr. Le dice que no leio bien, que siempre se nos dice los pros y contras que haci como algunas personales les perjudica tambien ayuda mucho en problemas con la obesidad y ya con esas enfermedades lo mejor es ayudarse como sea un comenzar otra ves con disiplina y fuerza de voluntad que todo tiene sus pros y sus contras.;['yo', 'mire', 'toda', 'la', 'entrevistas', 'mirenla', 'tambien', 'el', 'dr', 'esta', 'hablando', 'de', 'una', 'mujer', 'que', 'dio', 'una', 'entrevista', 'que', 'se', 'llama', 'mariana', 'es', 'europea', 'segun', 'dice', 'a', 'ella', 'la', 'engañaron', 'sobre', 'la', 'manga', 'gastrica', 'y', 'segun', 'ella', 'investigo', 'antes', 'de', 'hacersela', 'y', 'no', 'encotro', 'las', 'secuelas', 'por', 'eso', 'el', 'dr', 'le', 'dice', 'que', 'no', 'leio', 'bien', 'que', 'siempre', 'se', 'nos', 'dice', 'los', 'pros', 'y', 'contras', 'que', 'haci', 'como', 'algunas', 'personales', 'les', 'perjudica', 'tambien', 'ayuda', 'mucho', 'en', 'problemas', 'con', 'la', 'obesidad', 'y', 'ya', 'con', 'esas', 'enfermedades', 'lo', 'mejor', 'es', 'ayudarse', 'como', 'sea', 'un', 'comenzar', 'otra', 'ves', 'con', 'disiplina', 'y', 'fuerza', 'de', 'voluntad', 'que', 'todo', 'tiene', 'sus', 'pros', 'y', 'sus', 'contras'];['mirar', 'entrevista', 'mirenla', 'dr', 'hablar', 'mujer', 'entrevista', 'llamar', 'marián', 'europeo', 'engañar', 'manga', 'gastrico', 'investigo', 'hacersela', 'no', 'encotrir', 'secuela', 'dr', 'no', 'leer', 'bien', 'siempre', 'pro', 'contra', 'haci', 'personal', 'perjudicar', 'ayudar', 'problema', 'obesidad', 'enfermedad', 'mejor', 'ayudar él', 'comenzar', 'ves', 'disiplina', 'fuerza', 'voluntad', 'pro', 'contra'];mirar entrevista mirenla dr hablar mujer entrevista llamar marián europeo engañar manga gastrico investigo hacersela no encotrir secuela dr no leer bien siempre pro contra haci personal perjudicar ayudar problema obesidad enfermedad mejor ayudar él comenzar ves disiplina fuerza voluntad pro contra;Yo mire toda la entrevistas mirenla, tambien el Dr. Esta hablando de una mujer que dio una entrevista que se llama Mariana es Europea segun dice a ella la engañaron sobre la manga gastrica y segun ella investigo antes de hacersela y no encotro las secuelas por eso el Dr. Le dice que no leio bien, que siempre se nos dice los pros y contras que haci como algunas personales les perjudica tambien ayuda mucho en problemas con la obesidad y ya con esas enfermedades lo mejor es ayudarse como sea un comenzar otra ves con disiplina y fuerza de voluntad que todo tiene sus pros y sus contras.;True;youtube_02
Iglesia Cristiana Ministerios Maranatha;https://www.youtube.com/watch?v=ZmEWZSLjF58;Este.  Pastor.   Habla.  Del.  Orgullo.   Hay.    Personas.  Que.  Son orgullosas.   Y.  No. Quieren.   Dejar.   Su. Religión.   O. Temen. A.  Su.  Familia. O.  Sea.  Les. Da. Vergüenza. De.  Aceptar.  A.   Jesus. Pero.  Yo. Les.     Quiero.  Contar.   Que.  Hay.   Bruxos.   Que.  Trabajan.  Contra. Las. Personas. Los.  Atan. De.  Pies.   Y.  Manos.  Haciendo.  Rituales.    Y.   Si. La. Persona.  No.  Ora  no. Escuchar. La. Palabra.  Son. Vencidos.   Por. Angustia. Trizteza.  Depresión.    Recuerde.  Salmo.  37.  Encomienda. Tu.   Camino.  A.  Jesus.  Confía.  En. El y.  El hara;2022-01-26T16:44:18Z;Tristeza;Este. Pastor. Habla. Del. Orgullo. Hay. Personas. Que. Son orgullosas. Y. No. Quieren. Dejar. Su. Religión. O. Temen. A. Su. Familia. O. Sea. Les. Da. Vergüenza. De. Aceptar. A. Jesus. Pero. Yo. Les. Quiero. Contar. Que. Hay. Bruxos. Que. Trabajan. Contra. Las. Personas. Los. Atan. De. Pies. Y. Manos. Haciendo. Rituales. Y. Si. La. Persona. No. Ora no. Escuchar. La. Palabra. Son. Vencidos. Por. Angustia. Trizteza. Depresión. Recuerde. Salmo. 37. Encomienda. Tu. Camino. A. Jesus. Confía. En. El y. El hara;['este', 'pastor', 'habla', 'del', 'orgullo', 'hay', 'personas', 'que', 'son', 'orgullosas', 'y', 'no', 'quieren', 'dejar', 'su', 'religión', 'o', 'temen', 'a', 'su', 'familia', 'o', 'sea', 'les', 'da', 'vergüenza', 'de', 'aceptar', 'a', 'jesus', 'pero', 'yo', 'les', 'quiero', 'contar', 'que', 'hay', 'bruxos', 'que', 'trabajan', 'contra', 'las', 'personas', 'los', 'atan', 'de', 'pies', 'y', 'manos', 'haciendo', 'rituales', 'y', 'si', 'la', 'persona', 'no', 'ora', 'no', 'escuchar', 'la', 'palabra', 'son', 'vencidos', 'por', 'angustia', 'trizteza', 'depresión', 'recuerde', 'salmo', '37', 'encomienda', 'tu', 'camino', 'a', 'jesus', 'confía', 'en', 'el', 'y', 'el', 'hara'];['pastor', 'orgullo', 'persona', 'orgulloso', 'no', 'querer', 'dejar', 'religión', 'temer', 'familia', 'vergüenza', 'aceptar', 'jesu', 'querer', 'contar', 'bruxos', 'trabajar', 'persona', 'atar', 'pie', 'mano', 'ritual', 'si', 'persona', 'no', 'oro', 'no', 'escuchar', 'palabra', 'vencer', 'angustio', 'trizteza', 'depresión', 'recordar', 'salmo', '37', 'encomienda', 'camino', 'jesus', 'confía', 'hara'];pastor orgullo persona orgulloso no querer dejar religión temer familia vergüenza aceptar jesu querer contar bruxos trabajar persona atar pie mano ritual si persona no oro no escuchar palabra vencer angustio trizteza depresión recordar salmo 37 encomienda camino jesus confía hara;Este. Pastor. Habla. Del. Orgullo. Hay. Personas. Que. Son orgullosas. Y. No. Quieren. Dejar. Su. Religión. O. Temen. A. Su. Familia. O. Sea. Les. Da. Vergüenza. De. Aceptar. A. Jesus. Pero. Yo. Les. Quiero. Contar. Que. Hay. Bruxos. Que. Trabajan. Contra. Las. Personas. Los. Atan. De. Pies. Y. Manos. Haciendo. Rituales. Y. Si. La. Persona. No. Ora no. Escuchar. La. Palabra. Son. Vencidos. Por. Angustia. Trizteza. Depresión. Recuerde. Salmo. 37. Encomienda. Tu. Camino. A. Jesus. Confía. En. El y. El hara;True;youtube_02
Psiquiatría Mente y Salud;https://www.youtube.com/watch?v=80VlOKkLI5I;Es cierto cuando alguien se suicida pasá el dolor a otra persona, mi hija se suicidó y ahora no se cómo vivir sin ella, sufro de hipotiroidismo y la depresión está acabando con migo;2025-04-24T13:38:44Z;Tristeza;Es cierto cuando alguien se suicida pasá el dolor a otra persona, mi hija se suicidó y ahora no se cómo vivir sin ella, sufro de hipotiroidismo y la depresión está acabando con migo;['es', 'cierto', 'cuando', 'alguien', 'se', 'suicida', 'pasá', 'el', 'dolor', 'a', 'otra', 'persona', 'mi', 'hija', 'se', 'suicidó', 'y', 'ahora', 'no', 'se', 'cómo', 'vivir', 'sin', 'ella', 'sufro', 'de', 'hipotiroidismo', 'y', 'la', 'depresión', 'está', 'acabando', 'con', 'migo'];['alguien', 'suicidar', 'pasá', 'dolor', 'persona', 'hija', 'suicidar', 'no', 'vivir', 'sufro', 'hipotiroidismo', 'depresión', 'acabar', 'migo'];alguien suicidar pasá dolor persona hija suicidar no vivir sufro hipotiroidismo depresión acabar migo;Es cierto cuando alguien se suicida pasá el dolor a otra persona, mi hija se suicidó y ahora no se cómo vivir sin ella, sufro de hipotiroidismo y la depresión está acabando con migo;True;youtube_02
Yasiry Taliza González Hernánd;https://www.tiktok.com/@yasiry.taliza.gon/video/7354011532155489541?comment_id=7504189130529424134;♥️;2025-05-14 06:47:40;Alegría;emoji_palo_de_corazones;['emoji_palo_de_corazones'];['emoji_palo_de_corazón'];emoji_palo_de_corazón;emoji_palo_de_corazones;True;tiktok
 Centro Mas Ferriol ;https://www.youtube.com/watch?v=rn-GdtMoaRQ;Es terrible pasar por una depresión yo desgraciadamente pasé por algunas es terror nada te anima malo sola y necesita que veas que la familia te trate con mucho cariño y sensibilidad.;2026-05-02T22:52:04Z;Miedo;Es terrible pasar por una depresión yo desgraciadamente pasé por algunas es terror nada te anima malo sola y necesita que veas que la familia te trate con mucho cariño y sensibilidad.;['es', 'terrible', 'pasar', 'por', 'una', 'depresión', 'yo', 'desgraciadamente', 'pasé', 'por', 'algunas', 'es', 'terror', 'nada', 'te', 'anima', 'malo', 'sola', 'y', 'necesita', 'que', 'veas', 'que', 'la', 'familia', 'te', 'trate', 'con', 'mucho', 'cariño', 'y', 'sensibilidad'];['terrible', 'pasar', 'depresión', 'desgraciadamente', 'pasar', 'terror', 'nada', 'animar', 'malo', 'necesitar', 'ver', 'familia', 'tratar', 'cariño', 'sensibilidad'];terrible pasar depresión desgraciadamente pasar terror nada animar malo necesitar ver familia tratar cariño sensibilidad;Es terrible pasar por una depresión yo desgraciadamente pasé por algunas es terror nada te anima malo sola y necesita que veas que la familia te trate con mucho cariño y sensibilidad.;True;youtube_02
Psi Mammoliti;https://www.youtube.com/watch?v=4OIYrxH48F4;Marina, podrias hablar de otro tipo de fobias, concretamente de la filobobia? Parece q tiene puntos comunes con la fobia social. Gracias por estos videos tan valiosos;2024-08-01T17:12:35Z;Alegría;Marina, podrias hablar de otro tipo de fobias, concretamente de la filobobia? Parece q tiene puntos comunes con la fobia social. Gracias por estos videos tan valiosos;['marina', 'podrias', 'hablar', 'de', 'otro', 'tipo', 'de', 'fobias', 'concretamente', 'de', 'la', 'filobobia', 'interrogacion', 'parece', 'q', 'tiene', 'puntos', 'comunes', 'con', 'la', 'fobia', 'social', 'gracias', 'por', 'estos', 'videos', 'tan', 'valiosos'];['marina', 'hablar', 'tipo', 'fobia', 'concretamente', 'filobobio', 'interrogacion', 'q', 'punto', 'común', 'fobia', 'social', 'gracias', 'video', 'valioso'];marina hablar tipo fobia concretamente filobobio interrogacion q punto común fobia social gracias video valioso;Marina, podrias hablar de otro tipo de fobias, concretamente de la filobobia? Parece q tiene puntos comunes con la fobia social. Gracias por estos videos tan valiosos;True;youtube_02
